startIP,endIP,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
3325215258,3325215258,,,malware,,,,,
1925928899,1925928899,,,malware,,,,,
3194151834,3194151834,,,malware,,,,,
1390248208,1390248208,,,malware,,,,,
1306404938,1306404938,,,malware,,,,,
1035097521,1035097521,,,malware,,,,,
3423350571,3423350571,,,malware,,,,,
1027203845,1027203845,,,malware,,,,,
3495675798,3495675798,,,malware,,,,,
2919111724,2919111724,,,malware,,,,,
1508817942,1508817942,,,malware,,,,,
3270982239,3270982239,,,malware,,,,,
1823003325,1823003325,,,malware,,,,,
3562030391,3562030391,,,malware,,,,,
92763084,92763084,,,malware,,,,,
1370086208,1370086208,,,malware,,,,,
844599923,844599923,,,malware,,,,,
1572768930,1572768930,,,malware,,,,,
3470361445,3470361445,,,malware,,,,,
635281977,635281977,,,malware,,,,,
1540872213,1540872213,,,malware,,,,,
1285815553,1285815553,,,malware,,,,,
1107809944,1107809944,,,malware,,,,,
1841598344,1841598344,,,malware,,,,,
736449643,736449643,,,malware,,,,,
843003951,843003951,,,malware,,,,,
3278797957,3278797957,,,malware,,,,,
1255071924,1255071924,,,malware,,,,,
1572768889,1572768889,,,malware,,,,,
2918499052,2918499052,,,malware,,,,,
624641050,624641050,,,malware,,,,,
3272616485,3272616485,,,malware,,,,,
1113625289,1113625289,,,malware,,,,,
1360290061,1360290061,,,malware,,,,,
3233399317,3233399317,,,malware,,,,,
1842092560,1842092560,,,malware,,,,,
1603185028,1603185028,,,malware,,,,,
1318705194,1318705194,,,malware,,,,,
3162503665,3162503665,,,malware,,,,,
3494341336,3494341336,,,malware,,,,,
97007451,97007451,,,malware,,,,,
1568498443,1568498443,,,malware,,,,,
1255988035,1255988035,,,malware,,,,,
1138012778,1138012778,,,malware,,,,,
3553231377,3553231377,,,malware,,,,,
3517725636,3517725636,,,malware,,,,,
1538902618,1538902618,,,malware,,,,,
2916409338,2916409338,,,malware,,,,,
1122406291,1122406291,,,malware,,,,,
1360745744,1360745744,,,malware,,,,,
